file,commons_page,file_url,author,license
2021-event.webp,https://commons.wikimedia.org/wiki/File:Container_Ship_%27Ever_Given%27_stuck_in_the_Suez_Canal%2C_Egypt_-_March_24th%2C_2021_cropped.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Container_Ship_%27Ever_Given%27_stuck_in_the_Suez_Canal%2C_Egypt_-_March_24th%2C_2021_cropped.jpg/960px-Container_Ship_%27Ever_Given%27_stuck_in_the_Suez_Canal%2C_Egypt_-_March_24th%2C_2021_cropped.jpg,"Contains modified Copernicus Sentinel data [2021], processed by Pierre Markuse",CC-BY-2.0
2021-gadget.webp,https://commons.wikimedia.org/wiki/File:Apple_AirTag_%2851334123725%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Apple_AirTag_%2851334123725%29.jpg/960px-Apple_AirTag_%2851334123725%29.jpg,ajay_suresh,CC-BY-2.0
2021-car.webp,https://commons.wikimedia.org/wiki/File:Rivian_R1T_on_Sunset_Blvd.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Rivian_R1T_on_Sunset_Blvd.jpg/960px-Rivian_R1T_on_Sunset_Blvd.jpg,Chris Yarzab,CC-BY-2.0
2022-event.webp,https://commons.wikimedia.org/wiki/File:Bucha_main_street%2C_2022-04-06_%280700%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Bucha_main_street%2C_2022-04-06_%280700%29.jpg/960px-Bucha_main_street%2C_2022-04-06_%280700%29.jpg,Ukrinform TV / Ukrainian Armed Forces,CC-BY-3.0
2022-gadget.webp,https://commons.wikimedia.org/wiki/File:Steam_Deck_%28front%29.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Steam_Deck_%28front%29.png/960px-Steam_Deck_%28front%29.png,"Liam Dawe/GamingOnLinux, PNG version by VulcanSphere",CC-BY-SA-4.0
2022-car.webp,https://commons.wikimedia.org/wiki/File:Ford_F-150_Lightning_IAA_2023_1X7A0596.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Ford_F-150_Lightning_IAA_2023_1X7A0596.jpg/960px-Ford_F-150_Lightning_IAA_2023_1X7A0596.jpg,Alexander-93,CC-BY-SA-4.0
2023-event.webp,https://commons.wikimedia.org/wiki/File:Hatay%27da_depremin_y%C4%B1k%C4%B1c%C4%B1l%C4%B1%C4%9F%C4%B1%2C_2023.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Hatay%27da_depremin_y%C4%B1k%C4%B1c%C4%B1l%C4%B1%C4%9F%C4%B1%2C_2023.jpg/960px-Hatay%27da_depremin_y%C4%B1k%C4%B1c%C4%B1l%C4%B1%C4%9F%C4%B1%2C_2023.jpg,Fatih Renkligil,CC-BY-SA-4.0
2023-gadget.webp,https://commons.wikimedia.org/wiki/File:Meta_Quest_3_front_View.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Meta_Quest_3_front_View.jpg/960px-Meta_Quest_3_front_View.jpg,Roy.wonder.cohen,CC-BY-SA-4.0
2023-car.webp,https://commons.wikimedia.org/wiki/File:Foundation_series_Cybertruck_at_dusk_in_San_Jose_dllu.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Foundation_series_Cybertruck_at_dusk_in_San_Jose_dllu.jpg/960px-Foundation_series_Cybertruck_at_dusk_in_San_Jose_dllu.jpg,Dllu,CC-BY-SA-4.0
2024-event.webp,https://commons.wikimedia.org/wiki/File:Olympic_rings_on_the_Eiffel_Tower_2024_%285%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Olympic_rings_on_the_Eiffel_Tower_2024_%285%29.jpg/960px-Olympic_rings_on_the_Eiffel_Tower_2024_%285%29.jpg,Ibex73,CC-BY-4.0
2024-gadget.webp,https://commons.wikimedia.org/wiki/File:Apple_Vision_Pro_with_charger_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Apple_Vision_Pro_with_charger_%28cropped%29.jpg/960px-Apple_Vision_Pro_with_charger_%28cropped%29.jpg,Miyako Fujimiya,CC-BY-SA-4.0
2024-car.webp,https://commons.wikimedia.org/wiki/File:Xiaomi_SU7_008.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Xiaomi_SU7_008.jpg/960px-Xiaomi_SU7_008.jpg,JustAnotherCarDesigner,CC0
2025-event.webp,https://commons.wikimedia.org/wiki/File:Pope_Leo_XIV_on_the_loggia.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Pope_Leo_XIV_on_the_loggia.jpg/960px-Pope_Leo_XIV_on_the_loggia.jpg,Edgar Beltrán / The Pillar,CC-BY-SA-4.0
2025-gadget.webp,https://commons.wikimedia.org/wiki/File:Nintendo_Switch_2_in_Docking_Console.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Nintendo_Switch_2_in_Docking_Console.jpg/960px-Nintendo_Switch_2_in_Docking_Console.jpg,Crisco 1492,CC-BY-SA-4.0
2025-car.webp,https://commons.wikimedia.org/wiki/File:Ferrari_F80_1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Ferrari_F80_1.jpg/960px-Ferrari_F80_1.jpg,Calreyn88,CC-BY-SA-4.0
pres-clinton.webp,https://commons.wikimedia.org/wiki/File:Bill_Clinton.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Bill_Clinton.jpg/960px-Bill_Clinton.jpg,"Bob McNeely, The White House[1]",PD
pres-gwbush.webp,https://commons.wikimedia.org/wiki/File:George-W-Bush.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/George-W-Bush.jpeg/960px-George-W-Bush.jpeg,Eric Draper,PD
pres-obama.webp,https://commons.wikimedia.org/wiki/File:President_Barack_Obama.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/President_Barack_Obama.jpg/960px-President_Barack_Obama.jpg,Official White House Photo by Pete Souza,PD
pres-trump.webp,https://commons.wikimedia.org/wiki/File:Donald_Trump_official_portrait.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Donald_Trump_official_portrait.jpg/960px-Donald_Trump_official_portrait.jpg,Shealeah Craighead,PD
pres-biden.webp,https://commons.wikimedia.org/wiki/File:Joe_Biden_presidential_portrait.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Joe_Biden_presidential_portrait.jpg/960px-Joe_Biden_presidential_portrait.jpg,Adam Schultz,PD
